Año;Nro_Mes;Mes;Cuenta_de_Ingreso;Importe_Original;Importe_Numerico;Porcentaje_Original;Porcentaje_Numerico
2022;01;Enero;"S/D";"6.277.529,80";6277529.8;"95.9%";0.9590000000000001
2022;01;Enero;"CUENTA UNICA";"186.918,77";186918.77;"2.86%";0.0286
2022;01;Enero;"MAYORISTA";"79.496,00";79496;"1.21%";0.0121
2022;01;Enero;"MOSTRADOR";"2.000,00";2000;"0.03%";0.0003
2022;02;Febrero;"MERCADO LIBRE";"2.929.971,96";2929971.96;"48.17%";0.4817
2022;02;Febrero;"MOSTRADOR";"2.183.745,22";2183745.22;"35.91%";0.3591
2022;02;Febrero;"INSTAGRAM";"496.280,15";496280.15;"8.16%";0.0816
2022;02;Febrero;"S/D";"245.490,58";245490.58;"4.04%";0.0404
2022;02;Febrero;"MAYORISTA";"218.768,56";218768.56;"3.6%";0.036000000000000004
2022;02;Febrero;"CUENTA UNICA";"7.692,00";7692;"0.13%";0.0013
2022;03;Marzo;"MERCADO LIBRE";"3.952.728,46";3952728.46;"58.31%";0.5831000000000001
2022;03;Marzo;"MOSTRADOR";"1.674.958,73";1674958.73;"24.71%";0.24710000000000001
2022;03;Marzo;"INSTAGRAM";"644.530,26";644530.26;"9.51%";0.0951
2022;03;Marzo;"MAYORISTA";"451.111,25";451111.25;"6.65%";0.0665
2022;03;Marzo;"S/D";"37.156,00";37156;"0.55%";0.0055000000000000005
2022;03;Marzo;"CUENTA UNICA";"18.300,00";18300;"0.27%";0.0027
2022;04;Abril;"MERCADO LIBRE";"4.438.551,40";4438551.4;"56.58%";0.5658
2022;04;Abril;"MOSTRADOR";"1.699.002,00";1699002;"21.66%";0.21660000000000001
2022;04;Abril;"INSTAGRAM";"1.232.250,28";1232250.28;"15.71%";0.15710000000000002
2022;04;Abril;"MAYORISTA";"434.936,00";434936;"5.54%";0.0554
2022;04;Abril;"CUENTA UNICA";"20.900,00";20900;"0.27%";0.0027
2022;04;Abril;"S/D";"19.746,52";19746.52;"0.25%";0.0025
2022;05;Mayo;"MERCADO LIBRE";"5.777.878,81";5777878.81;"68.99%";0.6899
2022;05;Mayo;"INSTAGRAM";"963.193,79";963193.79;"11.5%";0.115
2022;05;Mayo;"MOSTRADOR";"949.322,97";949322.97;"11.34%";0.1134
2022;05;Mayo;"MAYORISTA";"656.151,18";656151.18;"7.83%";0.0783
2022;05;Mayo;"S/D";"28.263,04";28263.04;"0.34%";0.0034000000000000002
2022;06;Junio;"MERCADO LIBRE";"6.362.669,92";6362669.92;"65.32%";0.6531999999999999
